MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1202879	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box	19		somatic stem cell population maintenance	happens in small intestine crypt of lieberkuhn,affects a population of epithelial cell of small intestine		IMP	MGI:1926344 	J:147579 	
MGI:1202879	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box	19		somatic stem cell population maintenance	happens in small intestine crypt of lieberkuhn		IMP	MGI:1926344 	J:48968 	
MGI:104664	Tcf15	transcription factor 15	2		stem cell population maintenance			IDA		J:297822 	
MGI:1097166	Tcl1	T cell lymphoma breakpoint 1	12		regulation of stem cell population maintenance			IGI	MGI:2446210 	J:125698 	
MGI:1097166	Tcl1	T cell lymphoma breakpoint 1	12		stem cell population maintenance	affects a population of epiblast cell		IMP		J:111554 	
MGI:101876	Tead1	TEA domain family member 1	7		positive regulation of stem cell population maintenance			IGI	MGI:106907 MGI:109241 	J:160813 	
MGI:109241	Tead3	TEA domain family member 3	17		positive regulation of stem cell population maintenance			IGI	MGI:101876 MGI:106907 	J:160813 	
MGI:106907	Tead4	TEA domain family member 4	6		positive regulation of stem cell population maintenance			IGI	MGI:101876 MGI:109241 	J:160813 	
MGI:1098693	Tet1	tet methylcytosine dioxygenase 1	10		stem cell population maintenance			IMP		J:148409 	
MGI:106032	Tfap2c	transcription factor AP-2, gamma	2		germ-line stem cell population maintenance	has the participant primordial germ cell		IMP	MGI:2176695 	J:156642 	
MGI:106032	Tfap2c	transcription factor AP-2, gamma	2		somatic stem cell population maintenance	happens in trophectoderm,affects a population of trophoblast cell|happens in trophectoderm,affects a population of multi fate stem cell		IMP	MGI:3040993 	J:162675 	
MGI:106032	Tfap2c	transcription factor AP-2, gamma	2		stem cell population maintenance	affects a population of trophoblast cell		IDA		J:160495 	
MGI:106032	Tfap2c	transcription factor AP-2, gamma	2		stem cell population maintenance	affects a population of trophoblast cell		IMP		J:160495 	
MGI:104890	Tpt1	tumor protein, translationally-controlled 1	14		stem cell population maintenance			IMP		J:170271 	
MGI:1933302	Trim8	tripartite motif-containing 8	19		stem cell population maintenance			IMP		J:177748 	
MGI:1330810	Trp63	transformation related protein 63	16		positive regulation of somatic stem cell population maintenance			IMP		J:220326 	
MGI:2445126	Tut4	terminal uridylyl transferase 4	4		stem cell population maintenance			ISO	Q5TAX3 	J:164563 	
MGI:2135272	Vangl2	VANGL planar cell polarity 2	1		somatic stem cell population maintenance			IMP		J:149821 	
MGI:1202305	Vps72	vacuolar protein sorting 72	3		somatic stem cell population maintenance	affects a population of hematopoietic stem cell		IDA		J:150463 	
MGI:1919765	Wdr43	WD repeat domain 43	17		regulation of stem cell population maintenance			IMP		J:278445 	
MGI:1923696	Wdr62	WD repeat domain 62	7		neuronal stem cell population maintenance			ISO	Q5M9F2 	J:73065 	
MGI:98961	Wnt7a	wingless-type MMTV integration site family, member 7A	6		somatic stem cell population maintenance			IMP	MGI:1857704 	J:149821 	
MGI:1197020	Wnt9b	wingless-type MMTV integration site family, member 9B	11		mesenchymal stem cell maintenance involved in nephron morphogenesis	happens in metanephric mesenchyme		IMP	MGI:3526437 	J:171512 	
MGI:1197020	Wnt9b	wingless-type MMTV integration site family, member 9B	11		negative regulation of stem cell population maintenance			ISO	O14905 	J:164563 	
MGI:103262	Yap1	yes-associated protein 1	9		positive regulation of stem cell population maintenance			IMP		J:160813 	
MGI:103262	Yap1	yes-associated protein 1	9		somatic stem cell population maintenance	happens in intestine epithelium,affects a population of somatic stem cell		IDA		J:141457 	
MGI:1914552	Zc3h13	zinc finger CCCH type containing 13	14		regulation of stem cell population maintenance			IMP		J:261823 	
MGI:107945	Zfp36l2	zinc finger protein 36, C3H type-like 2	17		somatic stem cell population maintenance			IMP		J:199080 	
MGI:2442566	Zfp322a	zinc finger protein 322A	13		positive regulation of stem cell population maintenance			IDA		J:255341 	
MGI:1915286	Zfp706	zinc finger protein 706	15		negative regulation of stem cell population maintenance			IMP		J:221548 	
MGI:2683087	Zhx2	zinc fingers and homeoboxes 2	15		somatic stem cell population maintenance	happens in cerebral cortex,affects a population of neuroblast (sensu Vertebrata)		IDA		J:149817 	

