#Supplementary Table S2. Response of gene expression 48hr after induction of transcription factors in mouse ES cells
#All gene expression changes here are significant (FDR<=0.05 and fold change>1.5).
#Logratio is for average of Cy3/Cy5 (or Dox- vs Dox+ )
#Fold Change is logratio converted (i.e., 10**(logratio))

Transcription factor	Gene_symbol	Logratio(log10)	Fold change
Klf3	BC021614	-0.1865	0.6508
Lhx2	BC021614	-0.2232	0.5981
Nrip1	BC021614	-0.4002	0.3979
Otx2	BC021614	-0.2831	0.521
Pou5f1	BC021614	-0.2064	0.6217
Rxra	BC021614	0.4195	2.627
Sall4	BC021614	0.2704	1.863
Sox11	BC021614	-0.2811	0.5234
Sox2	BC021614	-0.2138	0.6112
Tbx5	BC021614	0.4701	2.951
Tcf3	BC021614	-0.2148	0.6098
Zscan4c	BC021614	-0.2765	0.529
Dmrt1	BC021767	-0.1911	0.644
Esx1	BC021767	0.2316	1.704
Fosl2	BC021767	0.3004	1.997
Hnf4a	BC021767	0.2951	1.972
Jun	BC021767	0.245	1.757
Klf4	BC021767	-0.299	0.5023
Sox2	BC021767	-0.2136	0.6115
Sox9	BC021767	-0.2021	0.6279
Tcf3	BC021767	0.2067	1.609
Dmrt1	BC021891	0.4197	2.628
Esx1	BC022224	0.2356	1.72
Hnf4a	BC022224	0.1826	1.522
Ascl2	BC022623	0.2323	1.707
Dlx3	BC022623	0.2519	1.786
Dmrt1	BC022623	-0.351	0.4456
Eomes	BC022623	0.235	1.717
Esx1	BC022623	0.5159	3.28
Ets1	BC022623	0.2002	1.585
Etv3	BC022623	0.2079	1.613
Foxc1	BC022623	0.342	2.197
Foxg1	BC022623	0.1768	1.502
Foxl2	BC022623	0.2261	1.683
Foxp3	BC022623	0.3366	2.17
Hesx1	BC022623	0.2535	1.792
Mef2c	BC022623	0.2068	1.609
Nkx2-5	BC022623	0.1853	1.532
Nr2f1	BC022623	0.2003	1.585
Nr5a2	BC022623	0.2665	1.847
Rxra	BC022623	0.2499	1.777
Sox2	BC022623	-0.2923	0.5101
T	BC022623	-0.2007	0.6299
Tcf3	BC022623	0.2463	1.763
Eomes	BC022687	0.2548	1.798
Tcf3	BC022687	0.2102	1.622
Dmrt1	BC022960	0.1988	1.58
Eomes	BC022960	0.2276	1.688
Esx1	BC022960	0.275	1.883
Nr5a2	BC022960	-0.2861	0.5174
Sox11	BC022960	-0.1995	0.6316
Ascl1	BC023744	-0.1979	0.634
Ascl2	BC023744	-0.1932	0.6409
Dlx3	BC023744	-0.2881	0.5151
Eomes	BC023744	-0.2731	0.5332
Fosl2	BC023744	0.1832	1.524
Gata3	BC023744	-0.2411	0.5739
Gbx2	BC023744	-0.2179	0.6054
Jun	BC023744	0.2864	1.933
Klf4	BC023744	-0.3404	0.4566
Nr2f1	BC023744	-0.19	0.6456
Nr2f2	BC023744	-0.2719	0.5346
Nr5a2	BC023744	0.2953	1.973
Sfpi1	BC023744	0.2135	1.634
T	BC023744	-0.254	0.5571
Tbx5	BC023744	-0.2134	0.6117
Eomes	BC023829	0.2841	1.923
Gata3	BC023829	0.1943	1.564
Nrip1	BC023829	0.2382	1.73
Sox11	BC023829	0.2398	1.737
Zscan4c	BC023829	0.2207	1.662
Ctbp2	BC023892	-0.1781	0.6635
Dlx3	BC023892	-0.197	0.6353
Dmrt1	BC023892	0.3376	2.175
Eomes	BC023892	-0.2301	0.5887
Esx1	BC023892	-0.2823	0.522
Foxg1	BC023892	0.2469	1.765
Gata2	BC023892	0.7569	5.713
Gata3	BC023892	0.6094	4.068
Gbx2	BC023892	-0.3327	0.4648
Hesx1	BC023892	-0.2101	0.6164
Id1	BC023892	-0.1832	0.6558
Jun	BC023892	0.2472	1.766
Nkx2-5	BC023892	-0.3138	0.4855
Nr2f2	BC023892	-0.3127	0.4867
Nrip1	BC023892	0.2424	1.747
Pou5f1	BC023892	0.2367	1.724
Sall4	BC023892	-0.2234	0.5978
Sox11	BC023892	-0.1959	0.6369
Sox9	BC023892	-0.2662	0.5417
T	BC023892	-0.2946	0.5074
Tbx5	BC023892	-0.3761	0.4206
Tcf3	BC023892	0.3139	2.06
Tcfcp2l1	BC023892	-0.2105	0.6158
Zic1	BC023892	0.2601	1.82
Cdx2	BC023969	-0.3331	0.4644
Dmrt1	BC023969	-0.3464	0.4504
Gata2	BC023969	-0.2371	0.5792
Gata3	BC023969	-0.1849	0.6532
Sox9	BC023969	-0.2051	0.6235
Tcf3	BC023969	-0.182	0.6576
Bcl6	BC024137	-0.328	0.4698
Cdx2	BC024137	0.553	3.572
Foxg1	BC024137	0.2513	1.783
Myod1	BC024137	0.5264	3.36
Nkx2-5	BC024137	0.2502	1.779
Sox7	BC024137	0.2856	1.93
Irf2	BC024386	-0.3413	0.4557
Cdx2	BC024479	-0.2496	0.5628
Esx1	BC024479	-0.2024	0.6274
Foxg1	BC024479	-0.201	0.6295
Foxl2	BC024479	-0.1966	0.6359
Foxp3	BC024479	-0.1857	0.652
Gata2	BC024479	-0.2892	0.5138
Gata3	BC024479	-0.1908	0.6444
Nkx2-5	BC024479	-0.2469	0.5663
Sox9	BC024479	-0.1838	0.6549
Tcf3	BC024479	-0.1854	0.6525
Gata3	BC024659	-0.1914	0.6435
Sox2	BC024659	0.5439	3.498
Cdx2	BC024814	0.2303	1.699
Sox9	BC024978	-0.1821	0.6575
Ascl1	BC024997	-0.2917	0.5108
Cdx2	BC024997	0.2501	1.778
Dlx3	BC024997	-0.4344	0.3677
Dmrt1	BC024997	-0.1911	0.644
Elf1	BC024997	0.2537	1.793
Elf5	BC024997	-0.1942	0.6394
Eomes	BC024997	-0.5747	0.2662
Foxa1	BC024997	-0.352	0.4446
Foxg1	BC024997	-0.2612	0.548
Foxl2	BC024997	-0.2918	0.5107
Foxp3	BC024997	-0.2235	0.5977
Grhl2	BC024997	0.1983	1.578
Klf4	BC024997	-0.6661	0.2157
Mef2c	BC024997	-0.2308	0.5877
Myc	BC024997	-0.205	0.6237
Nr2f1	BC024997	-0.2471	0.5661
Nr2f2	BC024997	-0.3922	0.4053
Nrip1	BC024997	0.2161	1.644
Pou5f1	BC024997	0.2372	1.726
Rxra	BC024997	-0.3823	0.4146
Sfpi1	BC024997	-0.4502	0.3546
Smad7	BC024997	-0.3221	0.4763
Sox9	BC024997	-0.6245	0.2374
T	BC024997	-0.2309	0.5876
Tbx5	BC024997	-0.3464	0.4504
Tcf3	BC024997	-0.2198	0.6028
Ascl1	BC025076	0.213	1.633
Dlx3	BC025076	0.2369	1.725
Dmrt1	BC025076	0.429	2.685
Esx1	BC025076	0.3461	2.218
Foxg1	BC025076	0.3347	2.161
Foxl2	BC025076	0.2387	1.732
Gata2	BC025076	0.4586	2.874
Gata3	BC025076	0.3015	2.002
Jun	BC025076	0.2444	1.755
Klf9	BC025076	-0.1982	0.6335
Nkx2-5	BC025076	0.4626	2.901
Sfpi1	BC025076	-0.258	0.552
Sox2	BC025076	-0.2503	0.5619
Gata2	BC025446	0.6674	4.649
Gata3	BC025446	1.1876	15.402
Klf4	BC025546	0.3074	2.029
Ascl1	BC025575	0.3216	2.097
Ascl2	BC025575	0.2056	1.605
Dmrt1	BC025575	0.2609	1.823
Esx1	BC025575	-0.2236	0.5975
Foxg1	BC025575	0.2546	1.797
Gbx2	BC025575	-0.2641	0.5443
Klf3	BC025575	0.1763	1.5
Klf9	BC025575	-0.1773	0.6648
Msc	BC025575	0.3398	2.186
Myod1	BC025575	0.2998	1.994
Nr2f2	BC025575	0.2028	1.595
Nrip1	BC025575	0.1955	1.568
Sox11	BC025575	0.3415	2.195
Tcfap2c	BC025575	-0.214	0.6109
Dmrt1	BC025816	0.5525	3.568
Cdx2	BC025920	-0.2978	0.5037
Elf1	BC025920	-0.1844	0.654
Foxl2	BC025920	-0.1862	0.6513
Mef2c	BC025920	-0.1935	0.6404
Dmrt1	BC026513	0.5462	3.517
Elf1	BC026513	0.3614	2.298
Elf5	BC026513	-0.2814	0.5231
Esx1	BC026513	0.3609	2.295
Foxg1	BC026513	0.2241	1.675
Foxl2	BC026513	0.2424	1.747
Msc	BC026513	-0.3338	0.4636
Sox9	BC026513	0.5655	3.677
Jun	BC026585	0.1968	1.573
Nkx2-5	BC026585	0.245	1.757
Nr2f2	BC026585	-0.2181	0.6052
Sox11	BC026590	0.1871	1.538
Gata2	BC026682	0.9226	8.367
Gata3	BC026682	1.0063	10.146
Ascl2	BC027072	0.2536	1.793
Cdx2	BC027072	0.3146	2.063
Dmrt1	BC027072	0.2124	1.63
Esx1	BC027072	0.2729	1.874
Gata2	BC027072	0.183	1.524
Sox9	BC027072	0.3128	2.054
Cdx2	BC027231	-0.261	0.5482
Dmrt1	BC027231	-0.311	0.4886
Esx1	BC027231	-0.1771	0.6651
Nkx2-5	BC027231	-0.1988	0.6327
Sox9	BC027231	-0.2556	0.5551
Tcf3	BC027231	-0.1946	0.6388
Cdx2	BC027344	-0.188	0.6486
Dmrt1	BC027344	-0.2967	0.505
Gata2	BC027344	-0.2994	0.5018
Gata3	BC027344	-0.2664	0.5415
Jun	BC027344	-0.1848	0.6534
Klf4	BC027344	-0.24	0.5754
Nkx2-5	BC027344	-0.2029	0.6267
Sox9	BC027344	-0.2453	0.5684
Tcf3	BC027344	-0.2619	0.5471
Hmga2	BC028454	-0.4055	0.393
Nr2f1	BC028454	-0.2282	0.5912
Cdx2	BC028528	-0.3479	0.4488
Dlx3	BC028528	-0.3977	0.4002
Dmrt1	BC028528	-0.2621	0.5468
Eomes	BC028528	-0.421	0.3793
Foxa1	BC028528	0.279	1.901
Foxg1	BC028528	0.2778	1.895
Foxp3	BC028528	-0.2387	0.5771
Gata2	BC028528	-0.4666	0.3415
Gata3	BC028528	-0.3708	0.4257
Gbx2	BC028528	0.4671	2.931
Hesx1	BC028528	0.3331	2.153
Hnf4a	BC028528	0.3123	2.052
Jun	BC028528	-0.3669	0.4296
Klf4	BC028528	-0.3474	0.4493
Nr2f1	BC028528	0.2068	1.609
Nr2f2	BC028528	-0.1968	0.6356
Nrip1	BC028528	-0.4049	0.3936
Sall4	BC028528	0.1824	1.521
Smad7	BC028528	0.2079	1.613
Sox11	BC028528	-0.249	0.5636
Sox2	BC028528	0.2145	1.638
Sox7	BC028528	0.266	1.845
Sox9	BC028528	-0.4011	0.3971
T	BC028528	-0.2277	0.5919
Tbx5	BC028528	-0.1764	0.6661
Tcfcp2l1	BC028528	0.2974	1.983
Zic1	BC028528	-0.3125	0.4869
Zscan4c	BC028528	-0.2798	0.525
Ascl1	BC028663	0.2152	1.641
Ascl2	BC028663	0.2547	1.797
Foxg1	BC028663	0.2179	1.651
Klf4	BC028663	-0.1786	0.6628
Rxra	BC028663	0.1768	1.502
Sox2	BC028663	0.2071	1.611
Esx1	BC028801	0.47	2.951
Jun	BC028801	0.4312	2.698
Tcf3	BC028801	0.6771	4.754
Arnt2	BC029169	-0.1852	0.6528
Dmrt1	BC029169	0.3714	2.351
Elf1	BC029169	0.4081	2.559
Ets1	BC029169	0.3765	2.379
Foxa1	BC029169	-0.2606	0.5487
Foxp3	BC029169	-0.1866	0.6507
Gbx2	BC029169	1.1147	13.022
Irf2	BC029169	0.2167	1.647
Klf3	BC029169	0.1768	1.502
Klf4	BC029169	1.8276	67.235
Nanog	BC029169	0.4488	2.81
Nkx2-5	BC029169	1.1254	13.347
Sfpi1	BC029169	0.2066	1.609
Sox11	BC029169	0.2274	1.688
Sox9	BC029169	0.2891	1.945
Tbx5	BC029169	-0.2973	0.5043
Tcf3	BC029169	0.9114	8.154
Tcfcp2l1	BC029169	0.3691	2.339
Dmrt1	BC029722	0.2764	1.889
Irf2	BC029722	0.2214	1.664
Klf4	BC029722	-0.223	0.5984
Tcf3	BC029722	0.2336	1.712
Dmrt1	BC030046	0.287	1.936
Ets1	BC030046	-0.2337	0.5838
Foxc1	BC030046	-0.2316	0.5866
Foxp3	BC030046	-0.2903	0.5125
Gata2	BC030046	0.7259	5.319
Gata3	BC030046	0.814	6.516
Hnf4a	BC030046	-0.1923	0.6422
Hoxa9	BC030046	-0.2054	0.6231
Klf4	BC030046	0.8238	6.664
Myc	BC030046	-0.3598	0.4367
Myod1	BC030046	0.5257	3.355
Nkx2-5	BC030046	-0.2335	0.5841
Otx2	BC030046	0.2991	1.991
Zic1	BC030046	0.1962	1.571
Irf2	BC030183	-0.4219	0.3785
Ascl2	BC030307	0.1995	1.583
Cdx2	BC030307	0.7239	5.295
Dmrt1	BC030307	0.2566	1.805
Foxg1	BC030307	0.1875	1.539
Pou5f1	BC030307	0.1777	1.505
Sox9	BC030307	0.2993	1.992
Foxg1	BC030336	0.1875	1.539
Gata2	BC030336	-0.1873	0.6496
Nr5a2	BC030336	-0.2149	0.6096
Esx1	BC030343	0.3883	2.445
Foxg1	BC030343	0.2621	1.828
Gadd45a	BC030343	-0.3756	0.4211
Klf4	BC030343	-0.6125	0.244
Tcf3	BC030343	0.3325	2.15
Esx1	BC030499	0.8009	6.322
Gadd45a	BC030499	-0.2107	0.6156
Hoxa9	BC030499	0.1784	1.507
Klf9	BC030499	0.2152	1.641
Lhx2	BC030499	0.2308	1.701
Gbx2	BC030867	0.1873	1.539
Sox9	BC030867	-0.1856	0.6522
Elf1	BC031181	-0.1839	0.6547
Gata2	BC031181	0.1985	1.579
Ascl2	BC031353	0.257	1.807
Atf3	BC031353	-0.2346	0.5826
Dmrt1	BC031353	0.3082	2.033
Esx1	BC031353	0.3069	2.027
Sox9	BC031353	0.2689	1.857
Tcf3	BC031353	0.2968	1.98
Tgif1	BC031353	-0.1906	0.6447
Cdx2	BC031441	-0.2022	0.6277
Foxl2	BC031441	-0.1987	0.6328
Gata2	BC031441	-0.3882	0.409
Gata3	BC031441	-0.3251	0.473
Tcf3	BC031441	-0.2005	0.6302
Ascl1	BC031748	0.3152	2.066
Ascl2	BC031748	0.264	1.836
Dlx3	BC031748	0.183	1.524
Dmrt1	BC031748	0.4174	2.614
Elf1	BC031748	-0.2961	0.5057
Eomes	BC031748	0.3904	2.456
Esx1	BC031748	0.2644	1.838
Foxg1	BC031748	0.3924	2.468
Foxl2	BC031748	0.2436	1.752
Gadd45a	BC031748	-0.2846	0.5192
Irf2	BC031748	-0.2008	0.6297
Jun	BC031748	0.219	1.655
Msc	BC031748	-0.1767	0.6657
Nkx2-5	BC031748	0.1861	1.534
Nrip1	BC031748	0.2612	1.824
Sfpi1	BC031748	-0.2161	0.6079
Sox9	BC031748	0.2846	1.925
T	BC031748	0.2432	1.75
Tcf3	BC031748	0.2103	1.622
Dmrt1	BC031781	-0.1937	0.6401
Cdx2	BC031901	1.2871	19.368
Mef2c	BC031901	0.6965	4.971
Ascl1	BC032203	-0.4862	0.3264
Ascl2	BC032203	-0.356	0.4405
Cdx2	BC032203	-0.8253	0.1495
Dlx3	BC032203	-0.4181	0.3818
Dmrt1	BC032203	-0.7867	0.1634
Elf5	BC032203	-0.2467	0.5666
Eomes	BC032203	-0.496	0.3191
Esx1	BC032203	-0.9248	0.1189
Fem1b	BC032203	0.1911	1.552
Foxc1	BC032203	-0.5333	0.2928
Foxg1	BC032203	-0.6661	0.2157
Foxl2	BC032203	-0.3927	0.4048
Foxp3	BC032203	-0.3661	0.4304
Gadd45a	BC032203	0.271	1.866
Gata2	BC032203	-0.7276	0.1872
Gata3	BC032203	-0.4289	0.3724
Hesx1	BC032203	0.2023	1.593
Hnf4a	BC032203	-0.3769	0.4198
Id1	BC032203	0.2075	1.612
Jun	BC032203	-0.6012	0.2504
Mef2c	BC032203	0.1997	1.583
Msc	BC032203	-0.2051	0.6235
Myc	BC032203	-0.3078	0.4922
Myod1	BC032203	-0.2391	0.5766
Nkx2-5	BC032203	-0.8171	0.1523
Nrip1	BC032203	-0.5982	0.2522
Otx2	BC032203	-0.4445	0.3593
Pou5f1	BC032203	-0.1879	0.6487
Rxra	BC032203	0.181	1.517
Sox9	BC032203	-0.4141	0.3853
T	BC032203	-0.2468	0.5665
Tcf3	BC032203	-0.7231	0.1891
Tcf4	BC032203	-0.2951	0.5068
Tcl1	BC032203	-0.2555	0.5552
Tgif1	BC032203	-0.1833	0.6556
Ascl2	BC033915	0.1921	1.556
Cdx2	BC033915	0.5795	3.797
Esx1	BC033915	0.4468	2.797
Foxg1	BC033915	-0.2517	0.5601
Gata2	BC033915	-0.2077	0.6198
Gata3	BC033915	-0.1862	0.6513
Jun	BC033915	0.1917	1.554
Klf4	BC033915	-0.2374	0.5788
Nkx2-5	BC033915	0.31	2.041
Sfpi1	BC033915	0.7675	5.854
Tcf3	BC033915	0.4564	2.86
Ascl1	BC033916	-0.2415	0.5734
Ascl2	BC033916	-0.2504	0.5618
Cdx2	BC033916	-0.513	0.3069
Dmrt1	BC033916	-0.4936	0.3209
Eomes	BC033916	-0.204	0.6251
Esx1	BC033916	-0.3626	0.4339
Foxg1	BC033916	-0.3193	0.4794
Grhl2	BC033916	-0.1856	0.6522
Hnf4a	BC033916	-0.1853	0.6526
Nkx2-5	BC033916	-0.2918	0.5107
Nrip1	BC033916	-0.3474	0.4493
Sox11	BC033916	-0.2466	0.5667
Sox2	BC033916	-0.2209	0.6013
Tcf3	BC033916	-0.4354	0.3669
Ascl1	BC033932	0.3449	2.212
Ascl2	BC033932	0.2407	1.74
Dlx3	BC033932	-0.178	0.6637
Elf1	BC033932	0.2141	1.637
Foxc1	BC033932	0.1847	1.53
Foxl2	BC033932	0.1947	1.565
Klf4	BC033932	0.3331	2.153
Mef2c	BC033932	-0.1795	0.6614
Nkx2-5	BC033932	0.2081	1.614
Nrip1	BC033932	0.2411	1.742
Pou5f1	BC033932	0.3962	2.49
Sfpi1	BC033932	0.2613	1.825
Sox9	BC033932	0.2484	1.771
Tbx5	BC033932	-0.2203	0.6021
Cdx2	BC034090	0.7141	5.177
Dmrt1	BC034090	0.6953	4.957
Eomes	BC034090	0.9966	9.922
Esx1	BC034090	0.6511	4.478
Foxg1	BC034090	0.587	3.863
Foxl2	BC034090	0.6261	4.227
Gata2	BC034090	0.2347	1.716
Hnf4a	BC034090	0.5171	3.289
Jun	BC034090	0.3189	2.084
Sox2	BC034090	0.5293	3.382
Sox9	BC034090	0.6657	4.631
T	BC034090	0.8024	6.344
Tbx5	BC034090	0.5168	3.287
Tcf3	BC034090	0.8014	6.329
Klf4	BC034902	0.4859	3.061
Ascl1	BC035537	0.2775	1.894
Cdx2	BC035537	0.4032	2.53
Dmrt1	BC035537	0.3096	2.039
Elf1	BC035537	0.3382	2.178
Foxl2	BC035537	0.1952	1.567
Gbx2	BC035537	-0.2761	0.5295
Hesx1	BC035537	-0.1766	0.6658
Jun	BC035537	0.2122	1.63
Klf9	BC035537	-0.2318	0.5864
Nrip1	BC035537	0.407	2.552
Sox2	BC035537	0.2135	1.634
Sox9	BC035537	0.7151	5.189
Tcf3	BC035537	0.2895	1.947
Zscan4c	BC035537	-0.4533	0.3521
Hmga2	BC035947	0.2215	1.665
Mycn	BC035947	-0.3457	0.4511
Nr5a2	BC035947	-0.4463	0.3578
Sirt3	BC035947	-0.2339	0.5835
Ascl2	BC035954	0.2493	1.775
Cdx2	BC035954	0.7293	5.361
Dlx3	BC035954	0.5601	3.631
Elf1	BC035954	-0.2573	0.5529
Elf5	BC035954	0.2163	1.645
Eomes	BC035954	0.5601	3.631
Esx1	BC035954	0.4873	3.071
Ets1	BC035954	-0.2756	0.5301
Etv3	BC035954	0.3027	2.007
Foxa1	BC035954	0.3841	2.421
Foxc1	BC035954	0.2425	1.747
Foxg1	BC035954	-0.2152	0.6092
Foxl2	BC035954	0.4652	2.918
Gbx2	BC035954	0.3096	2.039
Hoxa2	BC035954	0.1797	1.512
Irf2	BC035954	0.2924	1.96
Mef2c	BC035954	0.182	1.52
Myod1	BC035954	0.4737	2.976
Nkx2-5	BC035954	0.6767	4.75
Nr0b1	BC035954	-0.2513	0.5606
Nr2f1	BC035954	0.2809	1.909
Nrip1	BC035954	-0.3427	0.4542
Otx2	BC035954	-0.2347	0.5825
Sall4	BC035954	0.2565	1.805
Smad7	BC035954	0.2299	1.697
Sox2	BC035954	0.634	4.305
Sox7	BC035954	0.339	2.182
T	BC035954	0.4825	3.037
Tcf3	BC035954	0.3406	2.19
Tcfap2c	BC035954	0.2527	1.789
Zic1	BC035954	-0.2105	0.6158
Nkx2-5	BC037032	0.2168	1.647
Pou5f1	BC037039	-0.2365	0.58
Msc	BC037112	-0.2151	0.6093
Mybl2	BC037112	-0.1881	0.6484
Nr5a2	BC037112	-0.2283	0.5911
Cdx2	BC037393	-0.2055	0.623
Sox9	BC037393	-0.2161	0.6079
Tcf3	BC037393	-0.2365	0.58
Cdx2	BC037703	0.5282	3.374
Esx1	BC037703	0.4511	2.825
Etv3	BC037703	0.2882	1.941
Fem1b	BC037703	0.245	1.757
Foxa1	BC037703	-0.2147	0.6099
Gbx2	BC037703	0.2648	1.839
Klf4	BC037703	0.3974	2.496
Lhx2	BC037703	-0.1878	0.6489
Myod1	BC037703	0.377	2.382
Nr0b1	BC037703	-0.1975	0.6345
Sox2	BC037703	0.3309	2.142
Zscan4c	BC037703	-0.2834	0.5207
Hmga2	BC038167	0.2251	1.679
Nr0b1	BC038167	-0.4835	0.3284
Nr5a2	BC038167	-0.5531	0.2798
Pdlim1	BC038167	0.2078	1.613
Pou5f1	BC038167	0.3703	2.345
Sall4	BC038167	-0.4198	0.3803
Sirt3	BC038167	-0.2947	0.5073
Whsc2	BC038167	-0.7021	0.1985
Cdx2	BC038286	0.3182	2.08
Esx1	BC038286	0.1948	1.566
Gata2	BC038286	0.2611	1.824
Sox9	BC038286	0.1802	1.514
Tcf3	BC038286	0.2303	1.699
Ascl2	BC038822	0.226	1.682
Foxg1	BC038822	-0.2333	0.5843
Gata3	BC038822	0.2194	1.657
Sfpi1	BC038822	0.2749	1.883
T	BC038822	0.1938	1.562
Sfpi1	BC038925	-0.1922	0.6423
Ascl1	BC039093	0.3416	2.195
Ascl2	BC039093	0.1785	1.508
Cdx2	BC039093	0.2798	1.904
Dlx3	BC039093	0.2541	1.795
Dmrt1	BC039093	0.3269	2.122
Eomes	BC039093	0.2339	1.713
Esx1	BC039093	0.4062	2.548
Foxa1	BC039093	0.4233	2.65
Foxc1	BC039093	0.5277	3.37
Foxg1	BC039093	0.5138	3.264
Foxl2	BC039093	0.2966	1.979
Foxp3	BC039093	0.2413	1.743
Gata2	BC039093	0.2946	1.97
Gata3	BC039093	0.2386	1.732
Hnf4a	BC039093	0.2049	1.602
Jun	BC039093	0.1862	1.535
Mef2c	BC039093	0.2495	1.776
Nkx2-5	BC039093	0.4217	2.64
Nrip1	BC039093	0.2984	1.987
Sox11	BC039093	0.2678	1.852
Sox9	BC039093	0.5185	3.299
Tcf3	BC039093	0.4319	2.703
Tgif1	BC039093	-0.1999	0.6311
Sox2	BC039210	-0.1833	0.6556
Bcl6	BC039632	-0.1991	0.6322
Cdx2	BC039632	0.226	1.682
Esx1	BC039632	0.2451	1.758
Gata2	BC039632	0.3221	2.099
Nr2f2	BC039632	-0.3149	0.4842
Tcf3	BC039632	0.2699	1.861
Dlx3	BC039771	-0.1827	0.6565
Foxa1	BC039771	0.1951	1.567
Gata2	BC039771	-0.2017	0.6284
Ascl1	BC040756	-0.3431	0.4538
Cdx2	BC040756	-0.2618	0.5472
Foxc1	BC040756	-0.2047	0.6241
Irf2	BC040756	0.2329	1.709
Klf4	BC040756	-0.2722	0.5343
Mef2c	BC040756	-0.3286	0.4692
Nr2f2	BC040756	-0.4948	0.32
Sox11	BC040756	0.1931	1.559
Eomes	BC042720	-0.5825	0.2615
Esx1	BC042720	-0.552	0.2805
Gata2	BC042720	-0.3316	0.466
Gata3	BC042720	-0.3591	0.4374
Klf3	BC042720	0.2832	1.919
Myc	BC042720	-0.5861	0.2593
Sox9	BC042720	1.2999	19.948
Sox11	BC043098	0.2657	1.843
Eomes	BC043476	-0.1836	0.6552
Foxl2	BC043476	-0.2025	0.6273
Myc	BC043476	-0.2017	0.6284
Sox11	BC043476	-0.2106	0.6157
Tcf3	BC043476	-0.2173	0.6063
Zscan4c	BC043476	-0.2353	0.5817
Ascl2	BC043934	0.554	3.58
Dmrt1	BC043934	0.8708	7.426
Esx1	BC043934	0.4981	3.148
Myod1	BC043934	0.5573	3.608
Sfpi1	BC043934	1.2254	16.803
Sox2	BC043934	0.5723	3.735
Sox9	BC043934	0.508	3.221
Ascl1	BC046404	0.5219	3.325
Ascl2	BC046404	0.439	2.747
Ash2l	BC046404	-0.2129	0.6124
Cdx2	BC046404	0.5822	3.821
Dlx3	BC046404	0.5616	3.644
Dmrt1	BC046404	0.8404	6.924
Eomes	BC046404	-0.2027	0.627
Esx1	BC046404	0.7003	5.015
Foxa1	BC046404	0.2676	1.851
Foxc1	BC046404	0.3157	2.068
Foxg1	BC046404	0.7583	5.731
Foxl2	BC046404	0.7318	5.392
Foxp3	BC046404	0.1846	1.529
Gadd45a	BC046404	-0.2757	0.53
Gata2	BC046404	0.3831	2.416
Gata3	BC046404	0.321	2.094
Gbx2	BC046404	0.5208	3.317
Jun	BC046404	0.2448	1.757
Klf9	BC046404	-0.2824	0.5219
Mef2c	BC046404	0.1772	1.503
Myod1	BC046404	0.448	2.805
Nkx2-5	BC046404	1.0645	11.601
Rxra	BC046404	0.3397	2.186
Sox9	BC046404	0.2863	1.933
Tcf3	BC046404	0.4717	2.962
Tcfap2c	BC046404	0.3838	2.419
Tcl1	BC046404	-0.1864	0.651
Cdx2	BC048355	-0.2426	0.572
Dmrt1	BC048355	-0.1829	0.6562
Cdx2	BC048403	-0.2198	0.6028
Dlx3	BC048609	-0.2428	0.5717
Elf1	BC048609	-0.2288	0.5904
Eomes	BC048609	-0.2732	0.533
Gata2	BC048609	-0.3701	0.4264
Gata3	BC048609	-0.4167	0.383
Klf4	BC048609	-0.2254	0.5951
Nkx2-5	BC048609	-0.1792	0.6619
Nr2f1	BC048609	-0.1872	0.6498
Cdx2	BC048651	0.9415	8.739
Ascl2	BC048679	0.7453	5.562
Bcl6	BC048679	0.5601	3.631
Dlx3	BC048679	0.7038	5.055
Dmrt1	BC048679	0.8991	7.926
Elf1	BC048679	0.577	3.775
Esx1	BC048679	0.7703	5.892
Foxl2	BC048679	-0.357	0.4395
Gata2	BC048679	1.1217	13.234
Gata3	BC048679	1.5048	31.974
Gbx2	BC048679	0.6488	4.454
Jun	BC048679	0.7577	5.724
Klf4	BC048679	0.4228	2.647
Myod1	BC048679	1.0978	12.525
Nkx2-5	BC048679	0.5059	3.205
Nrip1	BC048679	0.6374	4.339
Rxra	BC048679	0.5622	3.649
Sfpi1	BC048679	0.4814	3.029
Sox11	BC048679	-0.245	0.5688
Tcfap2c	BC048679	0.7089	5.115
Bcl6	BC049349	-0.1989	0.6325
Cdx2	BC049349	-0.2869	0.5165
Dmrt1	BC049349	-0.3304	0.4673
Eomes	BC049349	-0.1804	0.66
Esx1	BC049349	-0.323	0.4753
Foxa1	BC049349	-0.2119	0.6139
Myod1	BC049349	-0.1834	0.6555
Sfpi1	BC049349	-0.1893	0.6466
Sox9	BC049349	-0.2946	0.5074
Tcf3	BC049349	-0.3951	0.4026
Foxa1	BC049702	0.3197	2.087
Foxg1	BC049702	0.273	1.874
Dmrt1	BC049715	0.4124	2.584
Nkx2-5	BC049715	0.3775	2.385
Ascl1	BC049762	-0.2268	0.5931
Dlx3	BC049762	-0.2649	0.5433
Elf1	BC049762	0.3704	2.346
Foxa1	BC049762	-0.3468	0.4499
Foxl2	BC049762	-0.2315	0.5868
Grhl2	BC049762	0.1867	1.537
Lhx2	BC049762	-0.2128	0.6126
Msc	BC049762	-0.2114	0.6146
Myod1	BC049762	-0.2286	0.5907
Sox11	BC049762	-0.2101	0.6164
Tcf3	BC049762	-0.1971	0.6351
Ets1	BC049807	0.2153	1.641
